add-none,1,10,20,120458,6022,0
add-none,1,20,40,111188,2779,0
add-none,1,40,80,111310,1391,0
add-none,1,80,160,112393,702,0
add-none,1,100,200,121337,606,0
add-none,1,1000,2000,127703,63,0
add-none,1,10000,20000,223199,11,0
add-none,1,100000,200000,1293151,6,0
add-none,2,10,40,168415,4210,0
add-none,2,20,80,163867,2048,0
add-none,2,40,160,170128,1063,0
add-none,2,80,320,161947,506,0
add-none,2,100,400,163918,409,0
add-none,2,1000,4000,172489,43,0
add-none,2,10000,40000,544010,13,3
add-none,2,100000,400000,3817265,9,65
add-none,4,10,80,208803,2610,0
add-none,4,20,160,177477,1109,0
add-none,4,40,320,167927,524,0
add-none,4,80,640,188074,293,0
add-none,4,100,800,197864,247,0
add-none,4,1000,8000,200999,25,1
add-none,4,10000,80000,1067237,13,48
add-none,4,100000,800000,10297054,12,481
add-none,8,10,160,300553,1878,0
add-none,8,20,320,284991,890,0
add-none,8,40,640,283070,442,0
add-none,8,80,1280,284361,222,0
add-none,8,100,1600,313245,195,0
add-none,8,1000,16000,341184,21,8
add-none,8,10000,160000,2152307,13,59
add-none,8,100000,1600000,20736011,12,778
add-none,12,10,240,417355,1738,0
add-none,12,20,480,380257,792,0
add-none,12,40,960,396518,413,0
add-none,12,80,1920,392532,204,0
add-none,12,100,2400,420588,175,0
add-none,12,1000,24000,473882,19,15
add-none,12,10000,240000,3173378,13,117
add-none,12,100000,2400000,30150794,12,954
add-yield-none,1,10,20,175474,8773,0
add-yield-none,1,20,40,176494,4412,0
add-yield-none,1,40,80,206561,2582,0
add-yield-none,1,80,160,267953,1674,0
add-yield-none,1,100,200,301384,1506,0
add-yield-none,1,1000,2000,1741874,870,0
add-yield-none,1,10000,20000,15653891,782,0
add-yield-none,1,100000,200000,151463794,757,0
add-yield-none,2,10,40,198605,4965,0
add-yield-none,2,20,80,210498,2631,0
add-yield-none,2,40,160,245119,1531,1
add-yield-none,2,80,320,313586,979,1
add-yield-none,2,100,400,352595,881,0
add-yield-none,2,1000,4000,2040377,510,1
add-yield-none,2,10000,40000,18677713,466,1
add-yield-none,2,100000,400000,182793769,456,210
add-yield-none,4,10,80,208767,2609,0
add-yield-none,4,20,160,198891,1243,0
add-yield-none,4,40,320,256127,800,1
add-yield-none,4,80,640,330461,516,2
add-yield-none,4,100,800,365897,457,1
add-yield-none,4,1000,8000,2060644,257,1
add-yield-none,4,10000,80000,18663020,233,2
add-yield-none,4,100000,800000,188463422,235,6
add-yield-none,8,10,160,307528,1922,0
add-yield-none,8,20,320,302875,946,4
add-yield-none,8,40,640,361817,565,1
add-yield-none,8,80,1280,437279,341,2
add-yield-none,8,100,1600,473585,295,2
add-yield-none,8,1000,16000,2231515,139,2
add-yield-none,8,10000,160000,20212818,126,4
add-yield-none,8,100000,1600000,196971601,123,10
add-yield-none,12,10,240,424660,1769,3
add-yield-none,12,20,480,428488,892,5
add-yield-none,12,40,960,457717,476,4
add-yield-none,12,80,1920,507270,264,0
add-yield-none,12,100,2400,597137,248,1
add-yield-none,12,1000,24000,2841883,118,2
add-yield-none,12,10000,240000,25376724,105,6
add-yield-none,12,100000,2400000,268504469,111,63
add-m,1,10,20,124027,6201,0
add-m,1,20,40,140690,3517,0
add-m,1,40,80,144304,1803,0
add-m,1,80,160,143512,896,0
add-m,1,100,200,148889,744,0
add-m,1,1000,2000,210219,105,0
add-m,1,10000,20000,804764,40,0
add-m,1,100000,200000,6732685,33,0
add-m,2,10,40,154109,3852,0
add-m,2,20,80,152485,1906,0
add-m,2,40,160,154513,965,0
add-m,2,80,320,158618,495,0
add-m,2,100,400,161230,403,0
add-m,2,1000,4000,497073,124,0
add-m,2,10000,40000,3819699,95,0
add-m,2,100000,400000,65345877,163,0
add-m,4,10,80,179170,2239,0
add-m,4,20,160,168809,1055,0
add-m,4,40,320,195196,609,0
add-m,4,80,640,183836,287,0
add-m,4,100,800,184397,230,0
add-m,4,1000,8000,1093978,136,0
add-m,4,10000,80000,9425542,117,0
add-m,4,100000,800000,102329239,127,0
add-m,8,10,160,300573,1878,0
add-m,8,20,320,283124,884,0
add-m,8,40,640,273712,427,0
add-m,8,80,1280,273967,214,0
add-m,8,100,1600,305208,190,0
add-m,8,1000,16000,2575307,160,0
add-m,8,10000,160000,23207185,145,0
add-m,8,100000,1600000,243691875,152,0
add-m,12,10,240,390474,1626,0
add-m,12,20,480,376625,784,0
add-m,12,40,960,387568,403,0
add-m,12,80,1920,376023,195,0
add-m,12,100,2400,388159,161,0
add-m,12,1000,24000,3973452,165,0
add-m,12,10000,240000,39436738,164,0
add-m,12,100000,2400000,352169576,146,0
add-s,1,10,20,143238,7161,0
add-s,1,20,40,141417,3535,0
add-s,1,40,80,122384,1529,0
add-s,1,80,160,146056,912,0
add-s,1,100,200,146787,733,0
add-s,1,1000,2000,171833,85,0
add-s,1,10000,20000,429532,21,0
add-s,1,100000,200000,3316982,16,0
add-s,2,10,40,143157,3578,0
add-s,2,20,80,141991,1774,0
add-s,2,40,160,127797,798,0
add-s,2,80,320,135205,422,0
add-s,2,100,400,151361,378,0
add-s,2,1000,4000,344635,86,0
add-s,2,10000,40000,4736888,118,0
add-s,2,100000,400000,47914963,119,0
add-s,4,10,80,179390,2242,0
add-s,4,20,160,202850,1267,0
add-s,4,40,320,204005,637,0
add-s,4,80,640,182023,284,0
add-s,4,100,800,210492,263,0
add-s,4,1000,8000,4757365,594,0
add-s,4,10000,80000,51904238,648,0
add-s,4,100000,800000,517068432,646,0
add-s,8,10,160,282618,1766,0
